id;name;mail;aktiv;sewobe_id
69;DIMB IG Würzburg;ig.wuerzburg@dimb.de;1;00063
70;0 Taubenberg/Miesbach;office@dimb.de;0;NULL
71;Intern - Bodensee (BY);office@dimb.de;0;02031
72;DIMB IG Untermain;ig.untermain@dimb.de;1;00065
73;0 Schwäbisch-Hall;Office@dimb.de;0;NULL
74;DIMB IG Reutlingen-Tübingen;ig.reutlingen@dimb.de;1;00072
75;DIMB IG Test;office@dimb.de;1;00040
76;DIMB IG Bayerischer Wald;ig.bayerischerwald@dimb.de;1;00066
77;DIMB IG Nürnberger Land;ig.nuernbergerland@dimb.de;1;00067
78;DIMB IG Hohenlohe;ig.hohenlohe@dimb.de;1;00075
79;DIMB IG Ruhrgebiet;ig.ruhrgebiet@dimb.de;1;00064
80;DIMB IG Schweinfurt-Haßberge;ig.schweinfurt-hassberge@dimb.de;1;00068
81;DIMB IG Stoapfalz;ig.stoapfalz@dimb.de;1;00071
82;DIMB IG Teutoburger Wald;ig.teutoburgerwald@dimb.de;1;00069
83;DIMB IG Zugspitz-Pfaffenwinkl;ig.zugspitz-pfaffenwinkl@dimb.de;1;00074
85;DIMB IG Bremen;ig.bremen@dimb.de;0;00022
86;DIMB IG Duisburg;ig.duisburg@dimb.de;0;00018
87;DIMB IG Hamburg;ig.hamburg@dimb.de;0;00007
88;DIMB IG Koblenz;ig.koblenz@dimb.de;1;00031
89;DIMB IG Leipzig;ig.leipzig@dimb.de;1;00076
90;DIMB IG Nördliches Harzvorland;ig.harzvorland@dimb.de;0;00070
91;DIMB IG Oldenburg;ig.oldenburg@dimb.de;0;00036
92;DIMB IG Osthessen;ig.osthessen@dimb.de;0;00016
93;DIMB IG Schleswig-Holstein;ig.schleswig-holstein@dimb.de;0;00023
94;DIMB IG Stromberg;ig.stromberg@dimb.de;0;00020
95;DIMB IG Unterfranken;ig.unterfranken@dimb.de;0;00047
96;DIMB IG Region Leipzig;office@dimb.de;0;02055
97;DIMB IG Alb-Donau-Iller;ig.albdonauiller@dimb.de;1;00077
98;DIMB IG Wiesbaden;ig.wiesbaden@dimb.de;1;00079
99;DIMB IG Kelheim;ig.kelheim@dimb.de;1;00081
100;DIMB IG Rureifel;ig.rureifel@dimb.de;1;00080
101;DIMB IG Jena;ig.jena@dimb.de;1;00085
102;DIMB IG Mansfelder Land;ig.mansfelderland@dimb.de;1;00092
103;DIMB IG Thüringer Meer;ig.thueringermeer@dimb.de;1;00090
104;DIMB IG Hunsrück-Nahe;ig.hunsrueck-nahe@dimb.de;1;00091
105;DIMB IG Alb-Donau-Neckar; thomas.lutz@dimb.de;1;NULL
109;DIMB IG Berlin;benjamin.bohlmann@dimb.de;1;NULL
110;DIMB IG Eggegebirge;ig.eggegebirge@dimb.de;1;NULL
111;DIMB IG Erft;dennis.mueller@dimb.de;1;NULL
113;DIMB IG Saarland;till.dengel@dimb.de;1;NULL
